SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
human_iSLK_latent_IP_1,CD4,cells,human_iSLK_latent,uninfected,1,data/tan_kshv_2018/alignments/human_iSLK_latent_IP_1.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_latent_1.macs2_peaks.narrowPeak.peaks.bed,IP
human_iSLK_latent_input_1,CD4,cells,human_iSLK_latent,uninfected,1,data/tan_kshv_2018/alignments/human_iSLK_latent_input_1.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_latent_1.macs2_peaks.narrowPeak.peaks.bed,input
human_iSLK_latent_IP_2,CD4,cells,human_iSLK_latent,uninfected,2,data/tan_kshv_2018/alignments/human_iSLK_latent_IP_2.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_latent_2.macs2_peaks.narrowPeak.peaks.bed,IP
human_iSLK_latent_input_2,CD4,cells,human_iSLK_latent,uninfected,2,data/tan_kshv_2018/alignments/human_iSLK_latent_input_2.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_latent_2.macs2_peaks.narrowPeak.peaks.bed,input
human_iSLK_latent_IP_3,CD4,cells,human_iSLK_latent,uninfected,3,data/tan_kshv_2018/alignments/human_iSLK_latent_IP_3.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_latent_3.macs2_peaks.narrowPeak.peaks.bed,IP
human_iSLK_latent_input_3,CD4,cells,human_iSLK_latent,uninfected,3,data/tan_kshv_2018/alignments/human_iSLK_latent_input_3.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_latent_3.macs2_peaks.narrowPeak.peaks.bed,input
human_iSLK_kshv_48h_IP_1,CD4,cells,human_iSLK_kshv_48h,infected,1,data/tan_kshv_2018/alignments/human_iSLK_kshv_48h_IP_1.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_kshv_48h_1.macs2_peaks.narrowPeak.peaks.bed,IP
human_iSLK_kshv_48h_input_1,CD4,cells,human_iSLK_kshv_48h,infected,1,data/tan_kshv_2018/alignments/human_iSLK_kshv_48h_input_1.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_kshv_48h_1.macs2_peaks.narrowPeak.peaks.bed,input
human_iSLK_kshv_48h_IP_2,CD4,cells,human_iSLK_kshv_48h,infected,2,data/tan_kshv_2018/alignments/human_iSLK_kshv_48h_IP_2.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_kshv_48h_2.macs2_peaks.narrowPeak.peaks.bed,IP
human_iSLK_kshv_48h_input_2,CD4,cells,human_iSLK_kshv_48h,infected,2,data/tan_kshv_2018/alignments/human_iSLK_kshv_48h_input_2.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_kshv_48h_2.macs2_peaks.narrowPeak.peaks.bed,input
human_iSLK_kshv_48h_IP_3,CD4,cells,human_iSLK_kshv_48h,infected,3,data/tan_kshv_2018/alignments/human_iSLK_kshv_48h_IP_3.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_kshv_48h_3.macs2_peaks.narrowPeak.peaks.bed,IP
human_iSLK_kshv_48h_input_3,CD4,cells,human_iSLK_kshv_48h,infected,3,data/tan_kshv_2018/alignments/human_iSLK_kshv_48h_input_3.star.sorted.bam,data/tan_kshv_2018/macs2_results/human_iSLK_kshv_48h_3.macs2_peaks.narrowPeak.peaks.bed,input
