SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
mock_IP_1,NHDF,cells,mock,uninfected,1,data/rubio_hcmv_2018/alignments/mock_IP_1.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/mock_1.macs2_peaks.narrowPeak.peaks.bed,IP
mock_input_1,NHDF,cells,mock,uninfected,1,data/rubio_hcmv_2018/alignments/mock_input_1.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/mock_1.macs2_peaks.narrowPeak.peaks.bed,input
mock_IP_2,NHDF,cells,mock,uninfected,2,data/rubio_hcmv_2018/alignments/mock_IP_2.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/mock_2.macs2_peaks.narrowPeak.peaks.bed,IP
mock_input_2,NHDF,cells,mock,uninfected,2,data/rubio_hcmv_2018/alignments/mock_input_2.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/mock_2.macs2_peaks.narrowPeak.peaks.bed,input
mock_IP_3,NHDF,cells,mock,uninfected,3,data/rubio_hcmv_2018/alignments/mock_IP_3.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/mock_3.macs2_peaks.narrowPeak.peaks.bed,IP
mock_input_3,NHDF,cells,mock,uninfected,3,data/rubio_hcmv_2018/alignments/mock_input_3.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/mock_3.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_IP_1,NHDF,cells,hcmv,infected,1,data/rubio_hcmv_2018/alignments/hcmv_IP_1.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/hcmv_1.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_input_1,NHDF,cells,hcmv,infected,1,data/rubio_hcmv_2018/alignments/hcmv_input_1.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/hcmv_1.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_IP_2,NHDF,cells,hcmv,infected,2,data/rubio_hcmv_2018/alignments/hcmv_IP_2.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/hcmv_2.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_input_2,NHDF,cells,hcmv,infected,2,data/rubio_hcmv_2018/alignments/hcmv_input_2.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/hcmv_2.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_IP_3,NHDF,cells,hcmv,infected,3,data/rubio_hcmv_2018/alignments/hcmv_IP_3.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/hcmv_3.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_input_3,NHDF,cells,hcmv,infected,3,data/rubio_hcmv_2018/alignments/hcmv_input_3.star.sorted.bam,data/rubio_hcmv_2018/macs2_results/hcmv_3.macs2_peaks.narrowPeak.peaks.bed,input
