SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
S_IP_1,HEK293T,cells,control,uninfected,1,data/bertero_smad23_2018/alignments/S_IP_1.star.sorted.bam,data/bertero_smad23_2018/macs2_results/S_1.macs2_peaks.narrowPeak.peaks.bed,IP
S_input_1,HEK293T,cells,control,uninfected,1,data/bertero_smad23_2018/alignments/S_input_1.star.sorted.bam,data/bertero_smad23_2018/macs2_results/S_1.macs2_peaks.narrowPeak.peaks.bed,input
S_IP_2,HEK293T,cells,control,uninfected,2,data/bertero_smad23_2018/alignments/S_IP_2.star.sorted.bam,data/bertero_smad23_2018/macs2_results/S_2.macs2_peaks.narrowPeak.peaks.bed,IP
S_input_2,HEK293T,cells,control,uninfected,2,data/bertero_smad23_2018/alignments/S_input_2.star.sorted.bam,data/bertero_smad23_2018/macs2_results/S_2.macs2_peaks.narrowPeak.peaks.bed,input
S_IP_3,HEK293T,cells,control,uninfected,3,data/bertero_smad23_2018/alignments/S_IP_3.star.sorted.bam,data/bertero_smad23_2018/macs2_results/S_3.macs2_peaks.narrowPeak.peaks.bed,IP
S_input_3,HEK293T,cells,control,uninfected,3,data/bertero_smad23_2018/alignments/S_input_3.star.sorted.bam,data/bertero_smad23_2018/macs2_results/S_3.macs2_peaks.narrowPeak.peaks.bed,input
A_IP_1,HEK293T,cells,A,infected,1,data/bertero_smad23_2018/alignments/A_IP_1.star.sorted.bam,data/bertero_smad23_2018/macs2_results/A_1.macs2_peaks.narrowPeak.peaks.bed,IP
A_input_1,HEK293T,cells,A,infected,1,data/bertero_smad23_2018/alignments/A_input_1.star.sorted.bam,data/bertero_smad23_2018/macs2_results/A_1.macs2_peaks.narrowPeak.peaks.bed,input
A_IP_2,HEK293T,cells,A,infected,2,data/bertero_smad23_2018/alignments/A_IP_2.star.sorted.bam,data/bertero_smad23_2018/macs2_results/A_2.macs2_peaks.narrowPeak.peaks.bed,IP
A_input_2,HEK293T,cells,A,infected,2,data/bertero_smad23_2018/alignments/A_input_2.star.sorted.bam,data/bertero_smad23_2018/macs2_results/A_2.macs2_peaks.narrowPeak.peaks.bed,input
A_IP_3,HEK293T,cells,A,infected,3,data/bertero_smad23_2018/alignments/A_IP_3.star.sorted.bam,data/bertero_smad23_2018/macs2_results/A_3.macs2_peaks.narrowPeak.peaks.bed,IP
A_input_3,HEK293T,cells,A,infected,3,data/bertero_smad23_2018/alignments/A_input_3.star.sorted.bam,data/bertero_smad23_2018/macs2_results/A_3.macs2_peaks.narrowPeak.peaks.bed,input
