SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
mockH_24h_IP_1,Huh7,early,Horner,uninfected,1,data/neg_control_mocks/alignments/mockH_24h_IP_1.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_24h_1.macs2_peaks.narrowPeak.peaks.bed,IP
mockH_24h_input_1,Huh7,early,Horner,uninfected,1,data/neg_control_mocks/alignments/mockH_24h_input_1.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_24h_1.macs2_peaks.narrowPeak.peaks.bed,input
mockH_24h_IP_2,Huh7,early,Horner,uninfected,2,data/neg_control_mocks/alignments/mockH_24h_IP_2.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_24h_2.macs2_peaks.narrowPeak.peaks.bed,IP
mockH_24h_input_2,Huh7,early,Horner,uninfected,2,data/neg_control_mocks/alignments/mockH_24h_input_2.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_24h_2.macs2_peaks.narrowPeak.peaks.bed,input
mockH_24h_IP_3,Huh7,early,Horner,uninfected,3,data/neg_control_mocks/alignments/mockH_24h_IP_3.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_24h_3.macs2_peaks.narrowPeak.peaks.bed,IP
mockH_24h_input_3,Huh7,early,Horner,uninfected,3,data/neg_control_mocks/alignments/mockH_24h_input_3.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_24h_3.macs2_peaks.narrowPeak.peaks.bed,input
mockH_48h_IP_1,Huh7,late,Horner,uninfected,1,data/neg_control_mocks/alignments/mockH_48h_IP_1.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_48h_1.macs2_peaks.narrowPeak.peaks.bed,IP
mockH_48h_input_1,Huh7,late,Horner,uninfected,1,data/neg_control_mocks/alignments/mockH_48h_input_1.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_48h_1.macs2_peaks.narrowPeak.peaks.bed,input
mockH_48h_IP_2,Huh7,late,Horner,uninfected,2,data/neg_control_mocks/alignments/mockH_48h_IP_2.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_48h_2.macs2_peaks.narrowPeak.peaks.bed,IP
mockH_48h_input_2,Huh7,late,Horner,uninfected,2,data/neg_control_mocks/alignments/mockH_48h_input_2.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_48h_2.macs2_peaks.narrowPeak.peaks.bed,input
mockH_48h_IP_3,Huh7,late,Horner,uninfected,3,data/neg_control_mocks/alignments/mockH_48h_IP_3.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_48h_3.macs2_peaks.narrowPeak.peaks.bed,IP
mockH_48h_input_3,Huh7,late,Horner,uninfected,3,data/neg_control_mocks/alignments/mockH_48h_input_3.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockH_48h_3.macs2_peaks.narrowPeak.peaks.bed,input
mockL_16h_IP_1,Huh7,early,Lazear,uninfected,1,data/neg_control_mocks/alignments/mockL_16h_IP_1.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockL_16h_1.macs2_peaks.narrowPeak.peaks.bed,IP
mockL_16h_input_1,Huh7,early,Lazear,uninfected,1,data/neg_control_mocks/alignments/mockL_16h_input_1.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockL_16h_1.macs2_peaks.narrowPeak.peaks.bed,input
mockL_16h_IP_2,Huh7,early,Lazear,uninfected,2,data/neg_control_mocks/alignments/mockL_16h_IP_2.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockL_16h_2.macs2_peaks.narrowPeak.peaks.bed,IP
mockL_16h_input_2,Huh7,early,Lazear,uninfected,2,data/neg_control_mocks/alignments/mockL_16h_input_2.star.sorted.bam,data/neg_control_mocks/macs2_results2/mockL_16h_2.macs2_peaks.narrowPeak.peaks.bed,input
