SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
control_IP_1,HepG2,cells,control,uninfected,1,data/huang_histonemeth_2019/alignments/control_IP_1.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/control_1.macs2_peaks.narrowPeak.peaks.bed,IP
control_input_1,HepG2,cells,control,uninfected,1,data/huang_histonemeth_2019/alignments/control_input_1.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/control_1.macs2_peaks.narrowPeak.peaks.bed,input
control_IP_2,HepG2,cells,control,uninfected,2,data/huang_histonemeth_2019/alignments/control_IP_2.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/control_2.macs2_peaks.narrowPeak.peaks.bed,IP
control_input_2,HepG2,cells,control,uninfected,2,data/huang_histonemeth_2019/alignments/control_input_2.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/control_2.macs2_peaks.narrowPeak.peaks.bed,input
control_IP_3,HepG2,cells,control,uninfected,3,data/huang_histonemeth_2019/alignments/control_IP_3.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/control_3.macs2_peaks.narrowPeak.peaks.bed,IP
control_input_3,HepG2,cells,control,uninfected,3,data/huang_histonemeth_2019/alignments/control_input_3.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/control_3.macs2_peaks.narrowPeak.peaks.bed,input
SETD2kd_IP_1,HepG2,cells,SETD2kd,infected,1,data/huang_histonemeth_2019/alignments/SETD2kd_IP_1.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/SETD2kd_1.macs2_peaks.narrowPeak.peaks.bed,IP
SETD2kd_input_1,HepG2,cells,SETD2kd,infected,1,data/huang_histonemeth_2019/alignments/SETD2kd_input_1.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/SETD2kd_1.macs2_peaks.narrowPeak.peaks.bed,input
SETD2kd_IP_2,HepG2,cells,SETD2kd,infected,2,data/huang_histonemeth_2019/alignments/SETD2kd_IP_2.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/SETD2kd_2.macs2_peaks.narrowPeak.peaks.bed,IP
SETD2kd_input_2,HepG2,cells,SETD2kd,infected,2,data/huang_histonemeth_2019/alignments/SETD2kd_input_2.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/SETD2kd_2.macs2_peaks.narrowPeak.peaks.bed,input
SETD2kd_IP_3,HepG2,cells,SETD2kd,infected,3,data/huang_histonemeth_2019/alignments/SETD2kd_IP_3.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/SETD2kd_3.macs2_peaks.narrowPeak.peaks.bed,IP
SETD2kd_input_3,HepG2,cells,SETD2kd,infected,3,data/huang_histonemeth_2019/alignments/SETD2kd_input_3.star.sorted.bam,data/huang_histonemeth_2019/macs2_results/SETD2kd_3.macs2_peaks.narrowPeak.peaks.bed,input
