SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
mock_IP_1,HEK293T,cells,control,uninfected,1,data/lichinchi_zikv_2016/alignments/mock_IP_1.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/mock_1.macs2_peaks.narrowPeak.peaks.bed,IP
mock_input_1,HEK293T,cells,control,uninfected,1,data/lichinchi_zikv_2016/alignments/mock_input_1.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/mock_1.macs2_peaks.narrowPeak.peaks.bed,input
mock_IP_2,HEK293T,cells,control,uninfected,2,data/lichinchi_zikv_2016/alignments/mock_IP_2.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/mock_2.macs2_peaks.narrowPeak.peaks.bed,IP
mock_input_2,HEK293T,cells,control,uninfected,2,data/lichinchi_zikv_2016/alignments/mock_input_2.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/mock_2.macs2_peaks.narrowPeak.peaks.bed,input
mock_IP_3,HEK293T,cells,control,uninfected,3,data/lichinchi_zikv_2016/alignments/mock_IP_3.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/mock_3.macs2_peaks.narrowPeak.peaks.bed,IP
mock_input_3,HEK293T,cells,control,uninfected,3,data/lichinchi_zikv_2016/alignments/mock_input_3.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/mock_3.macs2_peaks.narrowPeak.peaks.bed,input
zikv_IP_1,HEK293T,cells,zikv,infected,1,data/lichinchi_zikv_2016/alignments/zikv_IP_1.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/zikv_1.macs2_peaks.narrowPeak.peaks.bed,IP
zikv_input_1,HEK293T,cells,zikv,infected,1,data/lichinchi_zikv_2016/alignments/zikv_input_1.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/zikv_1.macs2_peaks.narrowPeak.peaks.bed,input
zikv_IP_2,HEK293T,cells,zikv,infected,2,data/lichinchi_zikv_2016/alignments/zikv_IP_2.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/zikv_2.macs2_peaks.narrowPeak.peaks.bed,IP
zikv_input_2,HEK293T,cells,zikv,infected,2,data/lichinchi_zikv_2016/alignments/zikv_input_2.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/zikv_2.macs2_peaks.narrowPeak.peaks.bed,input
zikv_IP_3,HEK293T,cells,zikv,infected,3,data/lichinchi_zikv_2016/alignments/zikv_IP_3.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/zikv_3.macs2_peaks.narrowPeak.peaks.bed,IP
zikv_input_3,HEK293T,cells,zikv,infected,3,data/lichinchi_zikv_2016/alignments/zikv_input_3.star.sorted.bam,data/lichinchi_zikv_2016/macs2_results2/zikv_3.macs2_peaks.narrowPeak.peaks.bed,input
