SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
wt_IP_1,mouse_brain,cells,wt,uninfected,1,data/hess_ftoko_2013/alignments/wt_IP_1.star.sorted.bam,data/hess_ftoko_2013/macs2_results/wt_1.macs2_peaks.narrowPeak.peaks.bed,IP
wt_input_1,mouse_brain,cells,wt,uninfected,1,data/hess_ftoko_2013/alignments/wt_input_1.star.sorted.bam,data/hess_ftoko_2013/macs2_results/wt_1.macs2_peaks.narrowPeak.peaks.bed,input
wt_IP_2,mouse_brain,cells,wt,uninfected,2,data/hess_ftoko_2013/alignments/wt_IP_2.star.sorted.bam,data/hess_ftoko_2013/macs2_results/wt_2.macs2_peaks.narrowPeak.peaks.bed,IP
wt_input_2,mouse_brain,cells,wt,uninfected,2,data/hess_ftoko_2013/alignments/wt_input_2.star.sorted.bam,data/hess_ftoko_2013/macs2_results/wt_2.macs2_peaks.narrowPeak.peaks.bed,input
wt_IP_3,mouse_brain,cells,wt,uninfected,3,data/hess_ftoko_2013/alignments/wt_IP_3.star.sorted.bam,data/hess_ftoko_2013/macs2_results/wt_3.macs2_peaks.narrowPeak.peaks.bed,IP
wt_input_3,mouse_brain,cells,wt,uninfected,3,data/hess_ftoko_2013/alignments/wt_input_3.star.sorted.bam,data/hess_ftoko_2013/macs2_results/wt_3.macs2_peaks.narrowPeak.peaks.bed,input
FtoKO_IP_1,mouse_brain,cells,FtoKO,uninfected,1,data/hess_ftoko_2013/alignments/FtoKO_IP_1.star.sorted.bam,data/hess_ftoko_2013/macs2_results/FtoKO_1.macs2_peaks.narrowPeak.peaks.bed,IP
FtoKO_input_1,mouse_brain,cells,FtoKO,uninfected,1,data/hess_ftoko_2013/alignments/FtoKO_input_1.star.sorted.bam,data/hess_ftoko_2013/macs2_results/FtoKO_1.macs2_peaks.narrowPeak.peaks.bed,input
FtoKO_IP_2,mouse_brain,cells,FtoKO,uninfected,2,data/hess_ftoko_2013/alignments/FtoKO_IP_2.star.sorted.bam,data/hess_ftoko_2013/macs2_results/FtoKO_2.macs2_peaks.narrowPeak.peaks.bed,IP
FtoKO_input_2,mouse_brain,cells,FtoKO,uninfected,2,data/hess_ftoko_2013/alignments/FtoKO_input_2.star.sorted.bam,data/hess_ftoko_2013/macs2_results/FtoKO_2.macs2_peaks.narrowPeak.peaks.bed,input
FtoKO_IP_3,mouse_brain,cells,FtoKO,uninfected,3,data/hess_ftoko_2013/alignments/FtoKO_IP_3.star.sorted.bam,data/hess_ftoko_2013/macs2_results/FtoKO_3.macs2_peaks.narrowPeak.peaks.bed,IP
FtoKO_input_3,mouse_brain,cells,FtoKO,uninfected,3,data/hess_ftoko_2013/alignments/FtoKO_input_3.star.sorted.bam,data/hess_ftoko_2013/macs2_results/FtoKO_3.macs2_peaks.narrowPeak.peaks.bed,input
