SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
basal_IP_2,mouse_brain,basal,basal,unstressed,2,data/engel_neuron_2018/alignments/basal_IP_2.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_2.macs2_peaks.narrowPeak.peaks.bed,IP
basal_input_2,mouse_brain,basal,basal,unstressed,2,data/engel_neuron_2018/alignments/basal_input_2.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_2.macs2_peaks.narrowPeak.peaks.bed,input
basal_IP_3,mouse_brain,basal,basal,unstressed,3,data/engel_neuron_2018/alignments/basal_IP_3.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_3.macs2_peaks.narrowPeak.peaks.bed,IP
basal_input_3,mouse_brain,basal,basal,unstressed,3,data/engel_neuron_2018/alignments/basal_input_3.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_3.macs2_peaks.narrowPeak.peaks.bed,input
basal_IP_4,mouse_brain,basal,basal,unstressed,4,data/engel_neuron_2018/alignments/basal_IP_4.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_4.macs2_peaks.narrowPeak.peaks.bed,IP
basal_input_4,mouse_brain,basal,basal,unstressed,4,data/engel_neuron_2018/alignments/basal_input_4.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_4.macs2_peaks.narrowPeak.peaks.bed,input
basal_IP_5,mouse_brain,basal,basal,unstressed,5,data/engel_neuron_2018/alignments/basal_IP_5.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_5.macs2_peaks.narrowPeak.peaks.bed,IP
basal_input_5,mouse_brain,basal,basal,unstressed,5,data/engel_neuron_2018/alignments/basal_input_5.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_5.macs2_peaks.narrowPeak.peaks.bed,input
basal_IP_6,mouse_brain,basal,basal,unstressed,6,data/engel_neuron_2018/alignments/basal_IP_6.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_6.macs2_peaks.narrowPeak.peaks.bed,IP
basal_input_6,mouse_brain,basal,basal,unstressed,6,data/engel_neuron_2018/alignments/basal_input_6.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_6.macs2_peaks.narrowPeak.peaks.bed,input
basal_IP_7,mouse_brain,basal,basal,unstressed,7,data/engel_neuron_2018/alignments/basal_IP_7.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_7.macs2_peaks.narrowPeak.peaks.bed,IP
basal_input_7,mouse_brain,basal,basal,unstressed,7,data/engel_neuron_2018/alignments/basal_input_7.star.sorted.bam,data/engel_neuron_2018/macs2_results2/basal_7.macs2_peaks.narrowPeak.peaks.bed,input
stress_IP_1,mouse_brain,stress,stress,unstressed,1,data/engel_neuron_2018/alignments/stress_IP_1.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_1.macs2_peaks.narrowPeak.peaks.bed,IP
stress_input_1,mouse_brain,stress,stress,unstressed,1,data/engel_neuron_2018/alignments/stress_input_1.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_1.macs2_peaks.narrowPeak.peaks.bed,input
stress_IP_2,mouse_brain,stress,stress,unstressed,2,data/engel_neuron_2018/alignments/stress_IP_2.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_2.macs2_peaks.narrowPeak.peaks.bed,IP
stress_input_2,mouse_brain,stress,stress,unstressed,2,data/engel_neuron_2018/alignments/stress_input_2.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_2.macs2_peaks.narrowPeak.peaks.bed,input
stress_IP_3,mouse_brain,stress,stress,unstressed,3,data/engel_neuron_2018/alignments/stress_IP_3.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_3.macs2_peaks.narrowPeak.peaks.bed,IP
stress_input_3,mouse_brain,stress,stress,unstressed,3,data/engel_neuron_2018/alignments/stress_input_3.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_3.macs2_peaks.narrowPeak.peaks.bed,input
stress_IP_4,mouse_brain,stress,stress,unstressed,4,data/engel_neuron_2018/alignments/stress_IP_4.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_4.macs2_peaks.narrowPeak.peaks.bed,IP
stress_input_4,mouse_brain,stress,stress,unstressed,4,data/engel_neuron_2018/alignments/stress_input_4.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_4.macs2_peaks.narrowPeak.peaks.bed,input
stress_IP_5,mouse_brain,stress,stress,unstressed,5,data/engel_neuron_2018/alignments/stress_IP_5.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_5.macs2_peaks.narrowPeak.peaks.bed,IP
stress_input_5,mouse_brain,stress,stress,unstressed,5,data/engel_neuron_2018/alignments/stress_input_5.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_5.macs2_peaks.narrowPeak.peaks.bed,input
stress_IP_6,mouse_brain,stress,stress,unstressed,6,data/engel_neuron_2018/alignments/stress_IP_6.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_6.macs2_peaks.narrowPeak.peaks.bed,IP
stress_input_6,mouse_brain,stress,stress,unstressed,6,data/engel_neuron_2018/alignments/stress_input_6.star.sorted.bam,data/engel_neuron_2018/macs2_results2/stress_6.macs2_peaks.narrowPeak.peaks.bed,input
