SampleID,Tissue,Factor,Condition,Treatment,Replicate,bam,Peaks,IP
hcmv_6h_IP_1,foreskin_fibroblasts,cells,hcmv_6h,uninfected,1,data/winkler_hcmv_2018/alignments/hcmv_6h_IP_1.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_6h_1.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_6h_input_1,foreskin_fibroblasts,cells,hcmv_6h,uninfected,1,data/winkler_hcmv_2018/alignments/hcmv_6h_input_1.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_6h_1.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_6h_IP_2,foreskin_fibroblasts,cells,hcmv_6h,uninfected,2,data/winkler_hcmv_2018/alignments/hcmv_6h_IP_2.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_6h_2.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_6h_input_2,foreskin_fibroblasts,cells,hcmv_6h,uninfected,2,data/winkler_hcmv_2018/alignments/hcmv_6h_input_2.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_6h_2.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_6h_IP_3,foreskin_fibroblasts,cells,hcmv_6h,uninfected,3,data/winkler_hcmv_2018/alignments/hcmv_6h_IP_3.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_6h_3.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_6h_input_3,foreskin_fibroblasts,cells,hcmv_6h,uninfected,3,data/winkler_hcmv_2018/alignments/hcmv_6h_input_3.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_6h_3.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_72h_IP_1,foreskin_fibroblasts,cells,hcmv_72h,infected,1,data/winkler_hcmv_2018/alignments/hcmv_72h_IP_1.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_72h_1.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_72h_input_1,foreskin_fibroblasts,cells,hcmv_72h,infected,1,data/winkler_hcmv_2018/alignments/hcmv_72h_input_1.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_72h_1.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_72h_IP_2,foreskin_fibroblasts,cells,hcmv_72h,infected,2,data/winkler_hcmv_2018/alignments/hcmv_72h_IP_2.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_72h_2.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_72h_input_2,foreskin_fibroblasts,cells,hcmv_72h,infected,2,data/winkler_hcmv_2018/alignments/hcmv_72h_input_2.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_72h_2.macs2_peaks.narrowPeak.peaks.bed,input
hcmv_72h_IP_3,foreskin_fibroblasts,cells,hcmv_72h,infected,3,data/winkler_hcmv_2018/alignments/hcmv_72h_IP_3.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_72h_3.macs2_peaks.narrowPeak.peaks.bed,IP
hcmv_72h_input_3,foreskin_fibroblasts,cells,hcmv_72h,infected,3,data/winkler_hcmv_2018/alignments/hcmv_72h_input_3.star.sorted.bam,data/winkler_hcmv_2018/macs2_results/hcmv_72h_3.macs2_peaks.narrowPeak.peaks.bed,input
